dst_cls,layer,region,source,content_id,delta,dist,a,b,kk
eval,9,task,samecls_samecont,c000,0.33687782287597656,1.562337040901184,109,46,109
eval,9,question,samecls_samecont,c000,-0.1770954132080078,0.9791171550750732,46,1,109
eval,9,final,samecls_samecont,c000,-0.2480792999267578,0.9880614876747131,1,0,109
eval,9,readout,samecls_samecont,c000,-0.3709754943847656,0.9793115854263306,46,0,109
eval,22,task,samecls_samecont,c000,0.009790420532226562,8.511920928955078,109,46,109
eval,22,question,samecls_samecont,c000,0.03867912292480469,7.571181297302246,46,1,109
eval,22,final,samecls_samecont,c000,0.110198974609375,3.386859655380249,1,0,109
eval,22,readout,samecls_samecont,c000,0.1497173309326172,7.480217933654785,46,0,109
eval,9,task,othercls_samecont,c000,0.24863052368164062,1.5795527696609497,108,46,108
eval,9,question,othercls_samecont,c000,-0.27017974853515625,0.9933780431747437,46,1,108
eval,9,final,othercls_samecont,c000,-0.11228561401367188,0.8597522377967834,1,0,108
eval,9,readout,othercls_samecont,c000,-0.33898162841796875,0.9904730319976807,46,0,108
eval,22,task,othercls_samecont,c000,-0.005161285400390625,9.446516990661621,108,46,108
eval,22,question,othercls_samecont,c000,0.010059356689453125,8.431428909301758,46,1,108
eval,22,final,othercls_samecont,c000,-0.011930465698242188,3.2029905319213867,1,0,108
eval,22,readout,othercls_samecont,c000,-0.003406524658203125,8.317767143249512,46,0,108
eval,9,task,samecls_diffcont,c000,-0.01453399658203125,1.5144803524017334,79,46,79
eval,9,question,samecls_diffcont,c000,-0.2330799102783203,1.021429419517517,46,1,79
eval,9,final,samecls_diffcont,c000,-0.024145126342773438,0.9916155934333801,1,0,79
eval,9,readout,samecls_diffcont,c000,-0.27582359313964844,1.0207812786102295,46,0,79
eval,22,task,samecls_diffcont,c000,-0.008710861206054688,11.393989562988281,79,46,79
eval,22,question,samecls_diffcont,c000,0.027887344360351562,8.8316068649292,46,1,79
eval,22,final,samecls_diffcont,c000,-0.0030975341796875,4.036459445953369,1,0,79
eval,22,readout,samecls_diffcont,c000,0.019788742065429688,8.727365493774414,46,0,79
eval,9,task,othercls_diffcont,c000,0.10668563842773438,1.4013400077819824,79,46,79
eval,9,question,othercls_diffcont,c000,-0.2748374938964844,1.1289074420928955,46,1,79
eval,9,final,othercls_diffcont,c000,-0.09684944152832031,0.7689508199691772,1,0,79
eval,9,readout,othercls_diffcont,c000,-0.3367290496826172,1.1210823059082031,46,0,79
eval,22,task,othercls_diffcont,c000,-0.005451202392578125,12.063199996948242,79,46,79
eval,22,question,othercls_diffcont,c000,0.00772857666015625,9.932762145996094,46,1,79
eval,22,final,othercls_diffcont,c000,-0.03370094299316406,3.904967784881592,1,0,79
eval,22,readout,othercls_diffcont,c000,-0.02740478515625,9.80172348022461,46,0,79
eval,9,task,samecls_samecont,c002,-0.021270751953125,1.6798862218856812,102,46,102
eval,9,question,samecls_samecont,c002,-0.12235069274902344,0.9751504063606262,46,1,102
eval,9,final,samecls_samecont,c002,0.00273895263671875,1.0173490047454834,1,0,102
eval,9,readout,samecls_samecont,c002,-0.12351608276367188,0.9760677218437195,46,0,102
eval,22,task,samecls_samecont,c002,0.0086212158203125,10.107832908630371,102,46,102
eval,22,question,samecls_samecont,c002,-0.024929046630859375,7.624457359313965,46,1,102
eval,22,final,samecls_samecont,c002,0.053218841552734375,4.034917831420898,1,0,102
eval,22,readout,samecls_samecont,c002,0.025310516357421875,7.54642391204834,46,0,102
eval,9,task,othercls_samecont,c002,0.0794830322265625,1.6751166582107544,102,46,102
eval,9,question,othercls_samecont,c002,0.05753326416015625,0.9283618330955505,46,1,102
eval,9,final,othercls_samecont,c002,-0.046352386474609375,0.9863517880439758,1,0,102
eval,9,readout,othercls_samecont,c002,0.0063686370849609375,0.92962247133255,46,0,102
eval,22,task,othercls_samecont,c002,0.001495361328125,10.48002815246582,102,46,102
eval,22,question,othercls_samecont,c002,-0.019733428955078125,7.803444862365723,46,1,102
eval,22,final,othercls_samecont,c002,-0.017633438110351562,3.763963460922241,1,0,102
eval,22,readout,othercls_samecont,c002,-0.04061698913574219,7.715630531311035,46,0,102
eval,9,task,samecls_diffcont,c002,-0.09823417663574219,1.5900977849960327,79,46,79
eval,9,question,samecls_diffcont,c002,0.088836669921875,0.9957541823387146,46,1,79
eval,9,final,samecls_diffcont,c002,0.15659332275390625,1.3076545000076294,1,0,79
eval,9,readout,samecls_diffcont,c002,0.2337779998779297,1.0025346279144287,46,0,79
eval,22,task,samecls_diffcont,c002,0.022785186767578125,12.688726425170898,79,46,79
eval,22,question,samecls_diffcont,c002,-0.0045108795166015625,8.765931129455566,46,1,79
eval,22,final,samecls_diffcont,c002,-0.30990028381347656,4.5262556076049805,1,0,79
eval,22,readout,samecls_diffcont,c002,-0.3196582794189453,8.6737642288208,46,0,79
eval,9,task,othercls_diffcont,c002,0.19552040100097656,1.5415103435516357,79,46,79
eval,9,question,othercls_diffcont,c002,0.06920242309570312,1.1644400358200073,46,1,79
eval,9,final,othercls_diffcont,c002,-0.0146331787109375,1.1676411628723145,1,0,79
eval,9,readout,othercls_diffcont,c002,0.06953620910644531,1.1645097732543945,46,0,79
eval,22,task,othercls_diffcont,c002,0.0070953369140625,11.818853378295898,79,46,79
eval,22,question,othercls_diffcont,c002,-0.024103164672851562,9.719225883483887,46,1,79
eval,22,final,othercls_diffcont,c002,-0.15188026428222656,4.066995620727539,1,0,79
eval,22,readout,othercls_diffcont,c002,-0.1820697784423828,9.596351623535156,46,0,79
eval,9,task,samecls_samecont,c003,0.2659473419189453,1.4804118871688843,107,46,107
eval,9,question,samecls_samecont,c003,-0.24654579162597656,0.7415235042572021,46,1,107
eval,9,final,samecls_samecont,c003,-0.01961517333984375,1.0197839736938477,1,0,107
eval,9,readout,samecls_samecont,c003,-0.2807273864746094,0.7475727200508118,46,0,107
eval,22,task,samecls_samecont,c003,-0.0025463104248046875,8.729273796081543,107,46,107
eval,22,question,samecls_samecont,c003,0.0074062347412109375,6.975596904754639,46,1,107
eval,22,final,samecls_samecont,c003,0.10156059265136719,2.706496477127075,1,0,107
eval,22,readout,samecls_samecont,c003,0.10919761657714844,6.8827900886535645,46,0,107
eval,9,task,othercls_samecont,c003,0.3214225769042969,2.028282880783081,105,46,105
eval,9,question,othercls_samecont,c003,-0.08303260803222656,1.1078217029571533,46,1,105
eval,9,final,othercls_samecont,c003,-0.12539291381835938,1.2096797227859497,1,0,105
eval,9,readout,othercls_samecont,c003,-0.17479515075683594,1.110036015510559,46,0,105
eval,22,task,othercls_samecont,c003,-0.00997161865234375,13.395125389099121,105,46,105
eval,22,question,othercls_samecont,c003,-0.018442153930664062,10.293679237365723,46,1,105
eval,22,final,othercls_samecont,c003,0.1619873046875,3.3736765384674072,1,0,105
eval,22,readout,othercls_samecont,c003,0.14234352111816406,10.143243789672852,46,0,105
eval,9,task,samecls_diffcont,c003,0.05713844299316406,1.5601742267608643,79,46,79
eval,9,question,samecls_diffcont,c003,-0.26129722595214844,1.0378663539886475,46,1,79
eval,9,final,samecls_diffcont,c003,-0.20973587036132812,1.073037028312683,1,0,79
eval,9,readout,samecls_diffcont,c003,-0.4530048370361328,1.0386308431625366,46,0,79
eval,22,task,samecls_diffcont,c003,-0.015361785888671875,12.781728744506836,79,46,79
eval,22,question,samecls_diffcont,c003,0.008844375610351562,8.6414794921875,46,1,79
eval,22,final,samecls_diffcont,c003,0.13793373107910156,4.592583179473877,1,0,79
eval,22,readout,samecls_diffcont,c003,0.1446208953857422,8.553460121154785,46,0,79
eval,9,task,othercls_diffcont,c003,0.1856517791748047,1.5829660892486572,79,46,79
eval,9,question,othercls_diffcont,c003,-0.30599403381347656,1.0143625736236572,46,1,79
eval,9,final,othercls_diffcont,c003,-0.2853412628173828,1.1431686878204346,1,0,79
eval,9,readout,othercls_diffcont,c003,-0.5528144836425781,1.0171626806259155,46,0,79
eval,22,task,othercls_diffcont,c003,-0.011165618896484375,13.008744239807129,79,46,79
eval,22,question,othercls_diffcont,c003,0.009151458740234375,9.415790557861328,46,1,79
eval,22,final,othercls_diffcont,c003,-0.18688011169433594,3.9461820125579834,1,0,79
eval,22,readout,othercls_diffcont,c003,-0.17730140686035156,9.29688549041748,46,0,79
eval,9,task,samecls_samecont,c006,-0.24338531494140625,1.499200701713562,125,46,125
eval,9,question,samecls_samecont,c006,0.0002593994140625,0.8094354271888733,46,1,125
eval,9,final,samecls_samecont,c006,-0.12273788452148438,0.7730315327644348,1,0,125
eval,9,readout,samecls_samecont,c006,-0.11103248596191406,0.8086441159248352,46,0,125
eval,22,task,samecls_samecont,c006,-0.009794235229492188,8.797734260559082,125,46,125
eval,22,question,samecls_samecont,c006,0.008924484252929688,6.754974842071533,46,1,125
eval,22,final,samecls_samecont,c006,-0.18341064453125,3.8175125122070312,1,0,125
eval,22,readout,samecls_samecont,c006,-0.17498779296875,6.691116809844971,46,0,125
eval,9,task,othercls_samecont,c006,0.002307891845703125,1.4331003427505493,123,46,123
eval,9,question,othercls_samecont,c006,-0.2434368133544922,0.9350824952125549,46,1,123
eval,9,final,othercls_samecont,c006,-0.09663009643554688,0.8097910284996033,1,0,123
eval,9,readout,othercls_samecont,c006,-0.2993144989013672,0.9323588013648987,46,0,123
eval,22,task,othercls_samecont,c006,-0.0006160736083984375,9.430662155151367,123,46,123
eval,22,question,othercls_samecont,c006,0.0016078948974609375,8.11845874786377,46,1,123
eval,22,final,othercls_samecont,c006,-0.32531166076660156,3.4818787574768066,1,0,123
eval,22,readout,othercls_samecont,c006,-0.32268333435058594,8.017663955688477,46,0,123
eval,9,task,samecls_diffcont,c006,-0.03650665283203125,3.721435070037842,59,46,59
eval,9,question,samecls_diffcont,c006,-0.4657115936279297,2.1085095405578613,46,1,59
eval,9,final,samecls_diffcont,c006,0.36030006408691406,2.0410869121551514,1,0,59
eval,9,readout,samecls_diffcont,c006,-0.2064037322998047,2.107043743133545,46,0,59
eval,22,task,samecls_diffcont,c006,0.0085296630859375,23.08209991455078,59,46,59
eval,22,question,samecls_diffcont,c006,0.003040313720703125,16.329225540161133,46,1,59
eval,22,final,samecls_diffcont,c006,-0.23182106018066406,9.571118354797363,1,0,59
eval,22,readout,samecls_diffcont,c006,-0.2442607879638672,16.182310104370117,46,0,59
eval,9,task,othercls_diffcont,c006,-0.2510089874267578,3.9089062213897705,59,46,59
eval,9,question,othercls_diffcont,c006,-0.6356582641601562,2.404789686203003,46,1,59
eval,9,final,othercls_diffcont,c006,0.20139122009277344,2.1584551334381104,1,0,59
eval,9,readout,othercls_diffcont,c006,-0.4430999755859375,2.3994345664978027,46,0,59
eval,22,task,othercls_diffcont,c006,0.0054798126220703125,24.389162063598633,59,46,59
eval,22,question,othercls_diffcont,c006,-0.050445556640625,17.745616912841797,46,1,59
eval,22,final,othercls_diffcont,c006,-0.7136249542236328,9.751914978027344,1,0,59
eval,22,readout,othercls_diffcont,c006,-0.7852649688720703,17.571840286254883,46,0,59
eval,9,task,samecls_samecont,c008,0.06160926818847656,2.6763768196105957,73,46,73
eval,9,question,samecls_samecont,c008,0.2408924102783203,1.053452491760254,46,1,73
eval,9,final,samecls_samecont,c008,-0.04640960693359375,0.9680993556976318,1,0,73
eval,9,readout,samecls_samecont,c008,0.2224140167236328,1.051596999168396,46,0,73
eval,22,task,samecls_samecont,c008,0.00042724609375,16.09983253479004,73,46,73
eval,22,question,samecls_samecont,c008,-0.021451950073242188,7.714488506317139,46,1,73
eval,22,final,samecls_samecont,c008,1.2630748748779297,5.98161506652832,1,0,73
eval,22,readout,samecls_samecont,c008,1.2361679077148438,7.676817417144775,46,0,73
eval,9,task,othercls_samecont,c008,-0.12171554565429688,1.8588706254959106,73,46,73
eval,9,question,othercls_samecont,c008,-0.14786338806152344,0.8165104985237122,46,1,73
eval,9,final,othercls_samecont,c008,-0.11386680603027344,0.8571758270263672,1,0,73
eval,9,readout,othercls_samecont,c008,-0.26010894775390625,0.8173946142196655,46,0,73
eval,22,task,othercls_samecont,c008,-0.0019626617431640625,12.406060218811035,73,46,73
eval,22,question,othercls_samecont,c008,-0.056003570556640625,8.238329887390137,46,1,73
eval,22,final,othercls_samecont,c008,-0.4822196960449219,3.6127471923828125,1,0,73
eval,22,readout,othercls_samecont,c008,-0.5455760955810547,8.137773513793945,46,0,73
eval,9,task,samecls_diffcont,c008,-0.049365997314453125,3.0807530879974365,60,46,60
eval,9,question,samecls_diffcont,c008,0.1812896728515625,1.493287444114685,46,1,60
eval,9,final,samecls_diffcont,c008,0.12542343139648438,1.6366554498672485,1,0,60
eval,9,readout,samecls_diffcont,c008,0.27747344970703125,1.4964042901992798,46,0,60
